nome_municipio,produtividade_kg_ha,valor_por_hectare
Picos,4.1363648711053163,0.11127474986191474
Buriti dos Montes,0.1139074427480916,0.11034178196564885
Lagoa do Barro do Piauí,0.11923076923076924,0.1076923076923077
Coronel José Dias,0.11738293778062861,0.10016908274534958
Caldeirão Grande do Piauí,0.13202247191011235,0.0964677902621723
Caracol,0.45070422535211269,0.096019489027186392
Bonfim do Piauí,0.11642949547218628,0.095097024579560138
Capitão Gervásio Oliveira,0.10303030303030303,0.090909090909090912
Canto do Buriti,4.1409801633605605,0.089777599377674058
Itaueira,0.19879235854458382,0.089047186507729956
Fartura do Piauí,0.0942350332594235,0.088736141906873608
Simões,1.1814139617607826,0.085935749221876384
São Francisco do Piauí,0.65133072003301007,0.082390777800701462
Santo Inácio do Piauí,1.8728139904610492,0.082038394276629567
Jurema,0.096428571428571433,0.079761904761904756
João Costa,0.102880658436214,0.078189300411522639
Cristalândia do Piauí,0.33333333333333331,0.07407407407407407
Socorro do Piauí,0.11145351823317926,0.072209013867488445
Marcos Parente,0.17261826327579391,0.071401581235999462
São Lourenço do Piauí,0.074131274131274127,0.0694980694980695
São Raimundo Nonato,0.52268433757419563,0.066410063787855828
Dirceu Arcoverde,0.070356472795497185,0.065666041275797379
Baixa Grande do Ribeiro,0.10688372249625427,0.065337130688035552
São João do Piauí,0.34355534259702925,0.0640621945376138
Jerumenha,2.9223056300268095,0.062716203753351213
Paes Landim,0.12807148175725985,0.059637081161578558
Campinas do Piauí,0.12862796833773088,0.054296108179419524
Simplício Mendes,1.2019491066594477,0.053067893881970765
Uruçuí,1.2721741673191023,0.047770294209200752
Castelo do Piauí,3.742000202069772,0.040171158870141305
Guadalupe,0.70891763104152483,0.034456963921034714
Santa Filomena,22.36340852130326,0.030217543859649122
Fronteiras,8.59834065397755,0.02350639336261591
Bertolínia,0.47718534639100474,0.010510779833151979
Ribeiro Gonçalves,1.6094502561965844,0.0057289509580710609
Paulistana,34.428571428571431,0.0
