ano,sigla_uf,produto,area_colhida_ha,producao_total,produtividade_media,valor_total_producao
2017,TO,Castanha de caju,6,7.0,1167.0,5.0
2016,AC,Caju,,,,
2016,AC,Castanha de caju,,,,
2016,AL,Caju,,,,
2016,AL,Castanha de caju,1214,664.0,556.37500000000023,1288.0
2016,AM,Caju,,,,
2016,AM,Castanha de caju,,,,
2016,AP,Caju,,,,
2016,AP,Castanha de caju,,,,
2016,BA,Caju,,,,
2016,BA,Castanha de caju,25733,3378.0,225.32558139534882,10405.0
2016,CE,Caju,,,,
2016,CE,Castanha de caju,376054,30968.0,142.15131578947378,119104.0
2016,DF,Caju,,,,
2016,DF,Castanha de caju,,,,
2016,ES,Caju,,,,
2016,ES,Castanha de caju,,,,
2016,GO,Caju,,,,
2016,GO,Castanha de caju,,,,
2016,MA,Caju,,,,
2016,MA,Castanha de caju,13379,4848.0,368.24576271186436,5783.0
2016,MG,Caju,,,,
2016,MG,Castanha de caju,,,,
2016,MS,Caju,,,,
2016,MS,Castanha de caju,,,,
2016,MT,Caju,,,,
2016,MT,Castanha de caju,171,96.0,462.66666666666669,193.0
2016,PA,Caju,,,,
2016,PA,Castanha de caju,2323,1446.0,928.3,3497.0
2016,PB,Caju,,,,
2016,PB,Castanha de caju,3950,897.0,245.09909909909913,1985.0
2016,PE,Caju,,,,
2016,PE,Castanha de caju,3402,2906.0,467.94117647058818,6142.0
2016,PI,Caju,,,,
2016,PI,Castanha de caju,79219,11189.0,145.20879120879118,34912.0
2016,PR,Caju,,,,
2016,PR,Castanha de caju,,,,
2016,RJ,Caju,,,,
2016,RJ,Castanha de caju,,,,
2016,RN,Caju,,,,
2016,RN,Castanha de caju,62136,18169.0,315.71538461538455,50445.0
2016,RO,Caju,,,,
2016,RO,Castanha de caju,,,,
2016,RR,Caju,,,,
2016,RR,Castanha de caju,,,,
2016,RS,Caju,,,,
2016,RS,Castanha de caju,,,,
2016,SC,Caju,,,,
2016,SC,Castanha de caju,,,,
2016,SE,Caju,,,,
2016,SE,Castanha de caju,,,,
2016,SP,Caju,,,,
2016,SP,Castanha de caju,,,,
2016,TO,Caju,,,,
2016,TO,Castanha de caju,6,7.0,1167.0,5.0
2015,AC,Caju,,,,
2015,AC,Castanha de caju,,,,
2015,AL,Caju,,,,
2015,AL,Castanha de caju,1174,612.0,511.68421052631584,1043.0
2015,AM,Caju,,,,
2015,AM,Castanha de caju,,,,
2015,AP,Caju,,,,
2015,AP,Castanha de caju,,,,
2015,BA,Caju,,,,
2015,BA,Castanha de caju,25786,5421.0,359.34146341463418,7144.0
2015,CE,Caju,,,,
2015,CE,Castanha de caju,374426,52118.0,144.49681528662424,171708.0
2015,DF,Caju,,,,
2015,DF,Castanha de caju,,,,
2015,ES,Caju,,,,
2015,ES,Castanha de caju,,,,
2015,GO,Caju,,,,
2015,GO,Castanha de caju,,,,
2015,MA,Caju,,,,
2015,MA,Castanha de caju,11968,4093.0,365.093220338983,4049.0
2015,MG,Caju,,,,
2015,MG,Castanha de caju,,,,
2015,MS,Caju,,,,
2015,MS,Castanha de caju,,,,
2015,MT,Caju,,,,
2015,MT,Castanha de caju,652,256.0,311.0,487.0
2015,PA,Caju,,,,
2015,PA,Castanha de caju,2945,1651.0,678.57142857142856,985.0
2015,PB,Caju,,,,
2015,PB,Castanha de caju,4039,960.0,239.7211538461539,1806.0
2015,PE,Caju,,,,
2015,PE,Castanha de caju,3791,3164.0,582.17948717948718,4033.0
2015,PI,Caju,,,,
2015,PI,Castanha de caju,87377,12751.0,165.1521739130435,33206.0
2015,PR,Caju,,,,
2015,PR,Castanha de caju,,,,
2015,RJ,Caju,,,,
2015,RJ,Castanha de caju,,,,
2015,RN,Caju,,,,
2015,RN,Castanha de caju,78755,22337.0,264.1760563380281,42392.0
2015,RO,Caju,,,,
2015,RO,Castanha de caju,,,,
2015,RR,Caju,,,,
2015,RR,Castanha de caju,,,,
2015,RS,Caju,,,,
2015,RS,Castanha de caju,,,,
2015,SC,Caju,,,,
2015,SC,Castanha de caju,,,,
2015,SE,Caju,,,,
2015,SE,Castanha de caju,,,,
2015,SP,Caju,,,,
2015,SP,Castanha de caju,,,,
2015,TO,Caju,,,,
2015,TO,Castanha de caju,,,,
2014,AC,Caju,,,,
2014,AC,Castanha de caju,,,,
2014,AL,Caju,,,,
2014,AL,Castanha de caju,1169,634.0,453.57894736842104,896.0
2014,AM,Caju,,,,
2014,AM,Castanha de caju,,,,
2014,AP,Caju,,,,
2014,AP,Castanha de caju,,,,
2014,BA,Caju,,,,
2014,BA,Castanha de caju,22690,5279.0,243.25000000000003,6138.0
2014,CE,Caju,,,,
2014,CE,Castanha de caju,378094,51211.0,217.03468208092485,108295.0
2014,DF,Caju,,,,
2014,DF,Castanha de caju,,,,
2014,ES,Caju,,,,
2014,ES,Castanha de caju,,,,
2014,GO,Caju,,,,
2014,GO,Castanha de caju,,,,
2014,MA,Caju,,,,
2014,MA,Castanha de caju,14438,5177.0,372.35897435897419,4893.0
2014,MG,Caju,,,,
2014,MG,Castanha de caju,,,,
2014,MS,Caju,,,,
2014,MS,Castanha de caju,,,,
2014,MT,Caju,,,,
2014,MT,Castanha de caju,662,261.0,359.16666666666669,523.0
2014,PA,Caju,,,,
2014,PA,Castanha de caju,3030,1663.0,743.33333333333337,1824.0
2014,PB,Caju,,,,
